dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.969913,5.581000,0.000197,0.019737,0.986842,49.342105,6.283144
0.020000,1.969907,5.581000,0.000204,0.000337,-0.969972,-97.840695,6.283165
0.020000,1.970684,5.581000,0.000982,0.038870,1.926652,144.831197,0.000020
0.020000,1.973032,5.581000,0.003330,0.117412,3.927099,100.022340,0.000082
0.020000,1.976163,5.581001,0.006461,0.156554,1.957084,-98.500764,0.000163
0.020000,1.980077,5.581001,0.010375,0.195699,1.957263,0.008977,0.000264
0.020000,1.984774,5.581003,0.015072,0.234849,1.957488,0.011247,0.000385
0.020000,1.990255,5.581005,0.020552,0.274004,1.957758,0.013474,0.000525
0.020000,1.996518,5.581009,0.026815,0.313166,1.958072,0.015729,0.000684
0.020000,2.003565,5.581015,0.033862,0.352334,1.958432,0.017988,0.000861
0.020000,2.011395,5.581022,0.041692,0.391511,1.958836,0.020226,0.001057
0.020000,2.020009,5.581032,0.050306,0.430697,1.959286,0.022466,0.001270
0.020000,2.029407,5.581045,0.059704,0.469892,1.959780,0.024725,0.001500
0.020000,2.039588,5.581062,0.069886,0.509099,1.960320,0.026980,0.001746
0.020000,2.050555,5.581082,0.080852,0.548317,1.960904,0.029211,0.002007
0.020000,2.062306,5.581107,0.092603,0.587548,1.961534,0.031480,0.002283
0.020000,2.074842,5.581138,0.105139,0.626792,1.962208,0.033711,0.002573
0.020000,2.088162,5.581174,0.118460,0.666050,1.962927,0.035970,0.002877
0.020000,2.102269,5.581217,0.132567,0.705324,1.963692,0.038223,0.003192
0.020000,2.117161,5.581267,0.147459,0.744614,1.964501,0.040467,0.003518
0.020000,2.132839,5.581325,0.163137,0.783921,1.965355,0.042715,0.003855
0.020000,2.149304,5.581391,0.179602,0.823246,1.966255,0.044967,0.004200
0.020000,2.166556,5.581467,0.196854,0.862590,1.967199,0.047223,0.004554
0.020000,2.184595,5.581552,0.214893,0.901954,1.968188,0.049461,0.004914
0.020000,2.203421,5.581648,0.233720,0.941339,1.969223,0.051722,0.005279
0.020000,2.223036,5.581755,0.253335,0.980745,1.970302,0.053962,0.005649
0.020000,2.243439,5.581874,0.273738,1.020173,1.971426,0.056218,0.006021
0.020000,2.264631,5.582006,0.294931,1.059625,1.972596,0.058465,0.006395
0.020000,2.286613,5.582151,0.316913,1.099101,1.973810,0.060714,0.006768
0.020000,2.309384,5.582309,0.339685,1.138603,1.975069,0.062963,0.007140
0.020000,2.332946,5.582482,0.363247,1.178130,1.976374,0.065211,0.007508
0.020000,2.357299,5.582669,0.387601,1.217685,1.977723,0.067460,0.007872
0.020000,2.382444,5.582871,0.412746,1.257267,1.979117,0.069708,0.008229
0.020000,2.408380,5.583089,0.438684,1.296878,1.980556,0.071954,0.008578
0.020000,2.435110,5.583323,0.465414,1.336519,1.982040,0.074204,0.008916
0.020000,2.462632,5.583573,0.492938,1.376190,1.983569,0.076449,0.009243
0.020000,2.490949,5.583839,0.521256,1.415893,1.985143,0.078697,0.009556
0.020000,2.520060,5.584122,0.550369,1.455628,1.986762,0.080944,0.009852
0.020000,2.549770,5.584419,0.580080,1.485557,1.496448,-24.515689,0.010130
0.020000,2.579685,5.584726,0.609996,1.495827,0.513480,-49.148388,0.010383
0.020000,2.609608,5.585040,0.639921,1.496260,0.021645,-24.591764,0.010609
0.020000,2.639540,5.585361,0.669855,1.496693,0.021645,-0.000006,0.010810
0.020000,2.669481,5.585687,0.699798,1.497126,0.021645,-0.000006,0.010984
0.020000,2.699430,5.586018,0.729749,1.497558,0.021645,-0.000006,0.011132
0.020000,2.729388,5.586354,0.759709,1.497991,0.021645,-0.000005,0.011254
0.020000,2.759355,5.586692,0.789677,1.498424,0.021644,-0.000005,0.011349
0.020000,2.789330,5.587034,0.819654,1.498857,0.021644,-0.000003,0.011418
0.020000,2.819314,5.587377,0.849640,1.499290,0.021644,-0.000003,0.011461
0.020000,2.849306,5.587721,0.879635,1.499723,0.021644,-0.000002,0.011478
0.020000,2.879308,5.588065,0.909638,1.500156,0.021644,-0.000001,0.011469
