dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.969900,5.251000,0.000197,0.019737,0.986842,49.342105,6.283144
0.020000,1.969900,5.251000,0.000987,0.059211,1.973684,49.342105,6.283165
0.020000,1.970691,5.251000,0.002566,0.098684,1.973684,0.000000,0.000020
0.020000,1.973059,5.251000,0.004934,0.138158,1.973684,-0.000000,0.000082
0.020000,1.976217,5.251001,0.008092,0.177632,1.973684,0.000000,0.000163
0.020000,1.980165,5.251001,0.012039,0.217105,1.973684,0.000000,0.000264
0.020000,1.984901,5.251003,0.016776,0.256579,1.973684,0.000000,0.000385
0.020000,1.990428,5.251005,0.022303,0.296053,1.973684,-0.000000,0.000525
0.020000,1.996744,5.251009,0.028618,0.335526,1.973684,0.000000,0.000684
0.020000,2.003849,5.251015,0.035724,0.375000,1.973684,0.000000,0.000861
0.020000,2.011744,5.251022,0.043618,0.414474,1.973684,0.000000,0.001057
0.020000,2.020428,5.251032,0.052303,0.453947,1.973684,0.000000,0.001270
0.020000,2.029901,5.251046,0.061776,0.493421,1.973684,0.000000,0.001500
0.020000,2.040165,5.251062,0.072039,0.532895,1.973684,0.000000,0.001746
0.020000,2.051217,5.251083,0.083092,0.572368,1.973684,0.000000,0.002007
0.020000,2.063059,5.251108,0.094934,0.611842,1.973684,-0.000000,0.002283
0.020000,2.075691,5.251139,0.107566,0.651316,1.973684,0.000000,0.002573
0.020000,2.089112,5.251176,0.120987,0.690789,1.973684,-0.000000,0.002877
0.020000,2.103322,5.251219,0.135197,0.730263,1.973684,0.000000,0.003192
0.020000,2.118322,5.251269,0.150197,0.769737,1.973684,0.000000,0.003518
0.020000,2.134112,5.251327,0.165987,0.809211,1.973684,-0.000000,0.003855
0.020000,2.150690,5.251394,0.182566,0.848684,1.973684,0.000000,0.004200
0.020000,2.168059,5.251470,0.199934,0.888158,1.973684,0.000000,0.004554
0.020000,2.186216,5.251556,0.218092,0.927632,1.973684,0.000000,0.004914
0.020000,2.205163,5.251653,0.237039,0.967105,1.973684,-0.000000,0.005279
0.020000,2.224900,5.251760,0.256776,1.006579,1.973684,0.000000,0.005649
0.020000,2.245426,5.251880,0.277303,1.046053,1.973684,0.000000,0.006021
0.020000,2.266741,5.252013,0.298618,1.085526,1.973684,0.000000,0.006395
0.020000,2.288846,5.252158,0.320724,1.125000,1.973684,0.000000,0.006768
0.020000,2.311740,5.252317,0.343618,1.164474,1.973684,0.000000,0.007140
