dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.969887,4.921000,0.000200,0.020000,1.000000,50.000000,6.283145
0.020000,1.969892,4.921000,0.000205,0.000256,-0.987177,-99.358862,6.283160
0.020000,1.969925,4.921000,0.000239,0.001682,0.071274,52.922540,0.000001
0.020000,1.971337,4.921000,0.001651,0.070597,3.445756,168.724136,0.000037
0.020000,1.973153,4.921000,0.003466,0.090766,1.008460,-121.864817,0.000083
0.020000,1.975371,4.921000,0.005685,0.110934,1.008408,-0.002593,0.000140
0.020000,1.977993,4.921001,0.008307,0.131101,1.008345,-0.003158,0.000207
0.020000,1.981019,4.921002,0.011332,0.151267,1.008269,-0.003771,0.000283
0.020000,1.984447,4.921003,0.014761,0.171430,1.008183,-0.004315,0.000370
0.020000,1.988279,4.921004,0.018593,0.191592,1.008085,-0.004899,0.000467
0.020000,1.992514,4.921007,0.022828,0.211752,1.007975,-0.005487,0.000573
0.020000,1.997152,4.921009,0.027466,0.231909,1.007854,-0.006059,0.000688
0.020000,2.002194,4.921013,0.032507,0.252063,1.007722,-0.006634,0.000813
0.020000,2.007638,4.921018,0.037951,0.272215,1.007578,-0.007203,0.000948
0.020000,2.013485,4.921024,0.043799,0.292363,1.007422,-0.007791,0.001091
0.020000,2.019735,4.921031,0.050049,0.312508,1.007254,-0.008377,0.001243
0.020000,2.026388,4.921040,0.056702,0.332650,1.007076,-0.008928,0.001404
0.020000,2.033444,4.921051,0.063757,0.352787,1.006885,-0.009531,0.001572
0.020000,2.040902,4.921063,0.071216,0.372921,1.006683,-0.010095,0.001749
0.020000,2.048763,4.921077,0.079077,0.393050,1.006470,-0.010677,0.001934
0.020000,2.057027,4.921094,0.087340,0.413175,1.006245,-0.011241,0.002127
0.020000,2.065693,4.921114,0.096006,0.433295,1.006008,-0.011841,0.002327
0.020000,2.074761,4.921136,0.105075,0.453411,1.005760,-0.012405,0.002533
0.020000,2.084231,4.921161,0.114545,0.473521,1.005500,-0.012987,0.002747
0.020000,2.094104,4.921189,0.124417,0.493625,1.005229,-0.013552,0.002966
0.020000,2.104378,4.921220,0.134692,0.513724,1.004946,-0.014152,0.003192
0.020000,2.115055,4.921256,0.145368,0.533817,1.004652,-0.014710,0.003423
0.020000,2.126133,4.921295,0.156446,0.553904,1.004346,-0.015294,0.003660
0.020000,2.137612,4.921338,0.167926,0.573985,1.004028,-0.015877,0.003901
0.020000,2.149493,4.921386,0.179807,0.594059,1.003699,-0.016446,0.004147
0.020000,2.161776,4.921439,0.192090,0.614126,1.003359,-0.017031,0.004398
0.020000,2.174459,4.921496,0.204773,0.634186,1.003007,-0.017603,0.004651
0.020000,2.187544,4.921559,0.217858,0.654239,1.002643,-0.018184,0.004908
0.020000,2.201029,4.921627,0.231344,0.674284,1.002268,-0.018759,0.005168
0.020000,2.214916,4.921700,0.245230,0.694322,1.001881,-0.019339,0.005430
0.020000,2.229202,4.921780,0.259517,0.714351,1.001483,-0.019912,0.005693
0.020000,2.243890,4.921865,0.274205,0.734373,1.001073,-0.020493,0.005958
0.020000,2.258977,4.921957,0.289293,0.754386,1.000652,-0.021072,0.006224
0.020000,2.274465,4.922056,0.304780,0.774390,1.000219,-0.021646,0.006490
0.020000,2.290352,4.922161,0.320668,0.794386,0.999774,-0.022225,0.006756
0.020000,2.306639,4.922273,0.336956,0.814372,0.999318,-0.022801,0.007021
0.020000,2.323326,4.922392,0.353643,0.834349,0.998851,-0.023379,0.007285
0.020000,2.340411,4.922519,0.370729,0.854317,0.998371,-0.023956,0.007546
0.020000,2.357896,4.922653,0.388214,0.874274,0.997881,-0.024533,0.007805
0.020000,2.375780,4.922795,0.406099,0.894222,0.997379,-0.025110,0.008061
0.020000,2.394063,4.922945,0.424382,0.914159,0.996865,-0.025687,0.008313
0.020000,2.412744,4.923103,0.443064,0.934086,0.996340,-0.026263,0.008561
0.020000,2.431823,4.923268,0.462144,0.954002,0.995803,-0.026842,0.008803
0.020000,2.451301,4.923442,0.481622,0.973907,0.995254,-0.027417,0.009040
0.020000,2.471176,4.923624,0.501498,0.993801,0.994694,-0.027995,0.009271
0.020000,2.491449,4.923814,0.521772,1.013683,0.994123,-0.028571,0.009494
0.020000,2.512119,4.924013,0.542443,1.033554,0.993540,-0.029150,0.009709
0.020000,2.533186,4.924219,0.563511,1.053413,0.992946,-0.029724,0.009916
0.020000,2.554650,4.924434,0.584976,1.073260,0.992340,-0.030302,0.010114
0.020000,2.576511,4.924658,0.606838,1.093094,0.991722,-0.030878,0.010301
0.020000,2.598768,4.924889,0.629096,1.112916,0.991093,-0.031457,0.010478
0.020000,2.621421,4.925128,0.651751,1.132725,0.990452,-0.032030,0.010643
0.020000,2.644470,4.925375,0.674801,1.152521,0.989800,-0.032611,0.010796
0.020000,2.667915,4.925630,0.698247,1.172304,0.989136,-0.033186,0.010936
0.020000,2.691755,4.925892,0.722089,1.192073,0.988461,-0.033762,0.011061
0.020000,2.715990,4.926162,0.746325,1.211829,0.987774,-0.034340,0.011172
0.020000,2.740620,4.926438,0.770957,1.231570,0.987076,-0.034917,0.011267
0.020000,2.765644,4.926721,0.795983,1.251298,0.986366,-0.035495,0.011346
0.020000,2.791063,4.927010,0.821403,1.271010,0.985645,-0.036072,0.011407
0.020000,2.816875,4.927305,0.847217,1.290709,0.984912,-0.036649,0.011450
0.020000,2.843081,4.927606,0.873425,1.310392,0.984167,-0.037228,0.011474
0.020000,2.869681,4.927911,0.900026,1.330060,0.983411,-0.037804,0.011477
0.020000,2.896673,4.928221,0.927020,1.349713,0.982643,-0.038383,0.011460
0.020000,2.924059,4.928534,0.954407,1.369350,0.981864,-0.038960,0.011421
0.020000,2.951836,4.928851,0.982187,1.388972,0.981073,-0.039539,0.011358
0.020000,2.980006,4.929169,1.010358,1.408577,0.980271,-0.040116,0.011272
0.020000,3.008567,4.929490,1.038922,1.428166,0.979457,-0.040694,0.011161
