dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000170,2.345000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.000770,2.345000,0.000800,0.030000,0.500000,-25.000000,0.000000
0.020000,0.001770,2.345000,0.001800,0.050000,1.000000,25.000000,0.000000
0.020000,0.003170,2.345000,0.003200,0.070000,1.000000,0.000000,0.000000
0.020000,0.004970,2.345000,0.005000,0.090000,1.000000,0.000000,0.000000
0.020000,0.007170,2.345000,0.007200,0.110000,1.000000,-0.000000,0.000000
0.020000,0.009770,2.345000,0.009800,0.130000,1.000000,-0.000000,0.000000
0.020000,0.012770,2.345000,0.012800,0.150000,1.000000,0.000000,0.000000
0.020000,0.016170,2.345000,0.016200,0.170000,1.000000,0.000000,0.000000
0.020000,0.019970,2.345000,0.020000,0.190000,1.000000,-0.000000,0.000000
0.020000,0.024170,2.345000,0.024200,0.210000,1.000000,-0.000000,0.000000
0.020000,0.028770,2.345000,0.028800,0.230000,1.000000,0.000000,0.000000
0.020000,0.033770,2.345000,0.033800,0.250000,1.000000,0.000000,0.000000
0.020000,0.039170,2.345000,0.039200,0.270000,1.000000,-0.000000,0.000000
0.020000,0.044970,2.345000,0.045000,0.290000,1.000000,-0.000000,0.000000
0.020000,0.051170,2.345000,0.051200,0.310000,1.000000,0.000000,0.000000
0.020000,0.057770,2.345000,0.057800,0.330000,1.000000,0.000000,0.000000
0.020000,0.064770,2.345000,0.064800,0.350000,1.000000,-0.000000,0.000000
0.020000,0.072170,2.345000,0.072200,0.370000,1.000000,0.000000,0.000000
0.020000,0.079970,2.345000,0.080000,0.390000,1.000000,-0.000000,0.000000
0.020000,0.088170,2.345000,0.088200,0.410000,1.000000,-0.000000,0.000000
0.020000,0.096770,2.345000,0.096800,0.430000,1.000000,-0.000000,0.000000
0.020000,0.105770,2.345000,0.105800,0.450000,1.000000,-0.000000,0.000000
0.020000,0.115170,2.345000,0.115200,0.470000,1.000000,0.000000,0.000000
0.020000,0.124970,2.345000,0.125000,0.490000,1.000000,-0.000000,0.000000
0.020000,0.135170,2.345000,0.135200,0.510000,1.000000,0.000000,0.000000
0.020000,0.145770,2.345000,0.145800,0.530000,1.000000,-0.000000,0.000000
0.020000,0.156770,2.345000,0.156800,0.550000,1.000000,0.000000,0.000000
0.020000,0.168170,2.345000,0.168200,0.570000,1.000000,0.000000,0.000000
0.020000,0.179970,2.345000,0.180000,0.590000,1.000000,-0.000000,0.000000
0.020000,0.192170,2.345000,0.192200,0.610000,1.000000,0.000000,0.000000
0.020000,0.204770,2.345000,0.204800,0.630000,1.000000,0.000000,0.000000
0.020000,0.217770,2.345000,0.217800,0.650000,1.000000,-0.000000,0.000000
0.020000,0.231170,2.345000,0.231200,0.670000,1.000000,-0.000000,0.000000
0.020000,0.244970,2.345000,0.245000,0.690000,1.000000,0.000000,0.000000
0.020000,0.259170,2.345000,0.259200,0.710000,1.000000,0.000000,0.000000
0.020000,0.273770,2.345000,0.273800,0.730000,1.000000,-0.000000,0.000000
0.020000,0.288770,2.345000,0.288800,0.750000,1.000000,-0.000000,0.000000
0.020000,0.304170,2.345000,0.304200,0.770000,1.000000,0.000000,0.000000
0.020000,0.319970,2.345000,0.320000,0.790000,1.000000,-0.000000,0.000000
0.020000,0.336170,2.345000,0.336200,0.810000,1.000000,0.000000,0.000000
0.020000,0.352770,2.345000,0.352800,0.830000,1.000000,0.000000,0.000000
0.020000,0.369770,2.345000,0.369800,0.850000,1.000000,0.000000,0.000000
0.020000,0.387170,2.345000,0.387200,0.870000,1.000000,-0.000000,0.000000
0.020000,0.404970,2.345000,0.405000,0.890000,1.000000,0.000000,0.000000
0.020000,0.423170,2.345000,0.423200,0.910000,1.000000,0.000000,0.000000
0.020000,0.441770,2.345000,0.441800,0.930000,1.000000,0.000000,0.000000
0.020000,0.460770,2.345000,0.460800,0.950000,1.000000,-0.000000,0.000000
0.020000,0.480170,2.345000,0.480200,0.970000,1.000000,0.000000,0.000000
0.020000,0.499970,2.345000,0.500000,0.990000,1.000000,0.000000,0.000000
0.020000,0.520170,2.345000,0.520200,1.010000,1.000000,-0.000000,0.000000
0.020000,0.540770,2.345000,0.540800,1.030000,1.000000,0.000000,0.000000
0.020000,0.561770,2.345000,0.561800,1.050000,1.000000,-0.000000,0.000000
0.020000,0.583170,2.345000,0.583200,1.070000,1.000000,0.000000,0.000000
0.020000,0.604970,2.345000,0.605000,1.090000,1.000000,-0.000000,0.000000
0.020000,0.627170,2.345000,0.627200,1.110000,1.000000,0.000000,0.000000
0.020000,0.649770,2.345000,0.649800,1.130000,1.000000,0.000000,0.000000
0.020000,0.672770,2.345000,0.672800,1.150000,1.000000,-0.000000,0.000000
0.020000,0.696170,2.345000,0.696200,1.170000,1.000000,0.000000,0.000000
0.020000,0.719970,2.345000,0.720000,1.190000,1.000000,0.000000,0.000000
0.020000,0.744170,2.345000,0.744200,1.210000,1.000000,-0.000000,0.000000
0.020000,0.768770,2.345000,0.768800,1.230000,1.000000,0.000000,0.000000
0.020000,0.793770,2.345000,0.793800,1.250000,1.000000,-0.000000,0.000000
