dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000170,2.000000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.000770,2.000000,0.000800,0.040000,1.000000,0.000000,0.000000
0.020000,0.001770,2.000000,0.001800,0.060000,1.000000,-0.000000,0.000000
0.020000,0.003170,2.000000,0.003200,0.080000,1.000000,0.000000,0.000000
0.020000,0.004970,2.000000,0.005000,0.100000,1.000000,0.000000,0.000000
0.020000,0.007170,2.000000,0.007200,0.120000,1.000000,-0.000000,0.000000
0.020000,0.009770,2.000000,0.009800,0.140000,1.000000,0.000000,0.000000
0.020000,0.012770,2.000000,0.012800,0.160000,1.000000,-0.000000,0.000000
0.020000,0.016170,2.000000,0.016200,0.180000,1.000000,0.000000,0.000000
0.020000,0.019970,2.000000,0.020000,0.200000,1.000000,0.000000,0.000000
0.020000,0.024170,2.000000,0.024200,0.220000,1.000000,-0.000000,0.000000
0.020000,0.028770,2.000000,0.028800,0.240000,1.000000,0.000000,0.000000
0.020000,0.033770,2.000000,0.033800,0.260000,1.000000,0.000000,0.000000
0.020000,0.039170,2.000000,0.039200,0.280000,1.000000,0.000000,0.000000
0.020000,0.044970,2.000000,0.045000,0.300000,1.000000,0.000000,0.000000
0.020000,0.051170,2.000000,0.051200,0.320000,1.000000,-0.000000,0.000000
0.020000,0.057770,2.000000,0.057800,0.340000,1.000000,0.000000,0.000000
0.020000,0.064770,2.000000,0.064800,0.360000,1.000000,0.000000,0.000000
0.020000,0.072170,2.000000,0.072200,0.380000,1.000000,0.000000,0.000000
0.020000,0.079970,2.000000,0.080000,0.400000,1.000000,0.000000,0.000000
0.020000,0.088170,2.000000,0.088200,0.420000,1.000000,0.000000,0.000000
0.020000,0.096770,2.000000,0.096800,0.440000,1.000000,-0.000000,0.000000
0.020000,0.105770,2.000000,0.105800,0.460000,1.000000,0.000000,0.000000
0.020000,0.115170,2.000000,0.115200,0.480000,1.000000,0.000000,0.000000
0.020000,0.124970,2.000000,0.125000,0.500000,1.000000,0.000000,0.000000
0.020000,0.135170,2.000000,0.135200,0.520000,1.000000,0.000000,0.000000
0.020000,0.145770,2.000000,0.145800,0.540000,1.000000,0.000000,0.000000
0.020000,0.156770,2.000000,0.156800,0.560000,1.000000,0.000000,0.000000
0.020000,0.168170,2.000000,0.168200,0.580000,1.000000,-0.000000,0.000000
0.020000,0.179970,2.000000,0.180000,0.600000,1.000000,0.000000,0.000000
0.020000,0.192170,2.000000,0.192200,0.620000,1.000000,-0.000000,0.000000
0.020000,0.204770,2.000000,0.204800,0.640000,1.000000,0.000000,0.000000
0.020000,0.217770,2.000000,0.217800,0.660000,1.000000,0.000000,0.000000
0.020000,0.231170,2.000000,0.231200,0.680000,1.000000,-0.000000,0.000000
0.020000,0.244970,2.000000,0.245000,0.700000,1.000000,0.000000,0.000000
0.020000,0.259170,2.000000,0.259200,0.720000,1.000000,0.000000,0.000000
0.020000,0.273770,2.000000,0.273800,0.740000,1.000000,0.000000,0.000000
0.020000,0.288770,2.000000,0.288800,0.760000,1.000000,0.000000,0.000000
0.020000,0.304170,2.000000,0.304200,0.780000,1.000000,0.000000,0.000000
